# table for coexisting phases in IAPWS95
nbin_coex    800
temperature_coex_min    2.731600e+02
temperature_coex_max    6.470900e+02
# temperature (degK)    pressure (Pa)    mden_vap (kg / m^3)    mden_liq (kg / m^3)    enthalpy_vap (J / kg)    enthalpy_liq (J / kg)    entropy_vap (J / kg / degK)    entropy_liq (J / kg / degK)
    3.03074400e+02    4.22857471e+03    3.02908540e-02    9.95628973e+02    2.55540878e+06    1.25417942e+05    8.45351534e+03    4.35712298e+02
    3.03541813e+02    4.34343024e+03    3.10667520e-02    9.95487239e+02    2.55625210e+06    1.27371855e+05    8.44395187e+03    4.42153928e+02
    3.04009225e+02    4.46098749e+03    3.18596302e-02    9.95343616e+02    2.55709509e+06    1.29325730e+05    8.43442664e+03    4.48585511e+02
    3.04476638e+02    4.58129935e+03    3.26697910e-02    9.95198118e+02    2.55793776e+06    1.31279571e+05    8.42493943e+03    4.55007089e+02
    3.04944050e+02    4.70441953e+03    3.34975408e-02    9.95050760e+02    2.55878010e+06    1.33233380e+05    8.41549005e+03    4.61418706e+02
    3.05411463e+02    4.83040252e+03    3.43431899e-02    9.94901556e+02    2.55962211e+06    1.35187162e+05    8.40607830e+03    4.67820403e+02
    3.05878875e+02    4.95930366e+03    3.52070527e-02    9.94750522e+02    2.56046377e+06    1.37140919e+05    8.39670397e+03    4.74212221e+02
    3.06346288e+02    5.09117908e+03    3.60894476e-02    9.94597670e+02    2.56130510e+06    1.39094656e+05    8.38736687e+03    4.80594202e+02
    3.06813700e+02    5.22608577e+03    3.69906970e-02    9.94443015e+02    2.56214608e+06    1.41048376e+05    8.37806679e+03    4.86966386e+02
    3.07281113e+02    5.36408154e+03    3.79111278e-02    9.94286570e+02    2.56298671e+06    1.43002081e+05    8.36880355e+03    4.93328813e+02
    3.07748525e+02    5.50522506e+03    3.88510706e-02    9.94128348e+02    2.56382699e+06    1.44955775e+05    8.35957694e+03    4.99681522e+02
    3.08215937e+02    5.64957585e+03    3.98108604e-02    9.93968363e+02    2.56466691e+06    1.46909460e+05    8.35038677e+03    5.06024554e+02
    3.08683350e+02    5.79719428e+03    4.07908364e-02    9.93806626e+02    2.56550646e+06    1.48863141e+05    8.34123284e+03    5.12357946e+02
    3.09150763e+02    5.94814162e+03    4.17913419e-02    9.93643152e+02    2.56634566e+06    1.50816820e+05    8.33211498e+03    5.18681738e+02
    3.09618175e+02    6.10248000e+03    4.28127247e-02    9.93477952e+02    2.56718448e+06    1.52770499e+05    8.32303297e+03    5.24995967e+02
    3.10085588e+02    6.26027242e+03    4.38553366e-02    9.93311038e+02    2.56802292e+06    1.54724182e+05    8.31398664e+03    5.31300670e+02
    3.10553000e+02    6.42158282e+03    4.49195338e-02    9.93142422e+02    2.56886099e+06    1.56677871e+05    8.30497579e+03    5.37595886e+02
    3.11020413e+02    6.58647600e+03    4.60056770e-02    9.92972117e+02    2.56969868e+06    1.58631569e+05    8.29600023e+03    5.43881652e+02
    3.11487825e+02    6.75501769e+03    4.71141311e-02    9.92800133e+02    2.57053598e+06    1.60585278e+05    8.28705979e+03    5.50158003e+02
    3.11955238e+02    6.92727453e+03    4.82452655e-02    9.92626483e+02    2.57137289e+06    1.62539002e+05    8.27815427e+03    5.56424976e+02
    3.12422650e+02    7.10331409e+03    4.93994539e-02    9.92451178e+02    2.57220940e+06    1.64492742e+05    8.26928348e+03    5.62682607e+02
    3.12890062e+02    7.28320487e+03    5.05770746e-02    9.92274228e+02    2.57304552e+06    1.66446502e+05    8.26044726e+03    5.68930931e+02
    3.13357475e+02    7.46701631e+03    5.17785101e-02    9.92095645e+02    2.57388123e+06    1.68400282e+05    8.25164540e+03    5.75169985e+02
    3.13824888e+02    7.65481882e+03    5.30041479e-02    9.91915439e+02    2.57471653e+06    1.70354087e+05    8.24287773e+03    5.81399802e+02
    3.14292300e+02    7.84668374e+03    5.42543795e-02    9.91733621e+02    2.57555142e+06    1.72307918e+05    8.23414408e+03    5.87620418e+02
    3.14759713e+02    8.04268337e+03    5.55296012e-02    9.91550202e+02    2.57638589e+06    1.74261778e+05    8.22544425e+03    5.93831867e+02
    3.15227125e+02    8.24289103e+03    5.68302140e-02    9.91365191e+02    2.57721994e+06    1.76215668e+05    8.21677807e+03    6.00034183e+02
    3.15694538e+02    8.44738096e+03    5.81566233e-02    9.91178599e+02    2.57805356e+06    1.78169591e+05    8.20814537e+03    6.06227400e+02
    3.16161950e+02    8.65622843e+03    5.95092392e-02    9.90990436e+02    2.57888676e+06    1.80123550e+05    8.19954597e+03    6.12411552e+02
    3.16629363e+02    8.86950968e+03    6.08884765e-02    9.90800711e+02    2.57971951e+06    1.82077545e+05    8.19097969e+03    6.18586671e+02
    3.17096775e+02    9.08730198e+03    6.22947546e-02    9.90609434e+02    2.58055183e+06    1.84031581e+05    8.18244636e+03    6.24752790e+02
    3.17564188e+02    9.30968355e+03    6.37284974e-02    9.90416615e+02    2.58138370e+06    1.85985657e+05    8.17394580e+03    6.30909944e+02
    3.18031600e+02    9.53673377e+03    6.51901346e-02    9.90222263e+02    2.58221513e+06    1.87939777e+05    8.16547784e+03    6.37058163e+02
    3.18499013e+02    9.76853291e+03    6.66800993e-02    9.90026387e+02    2.58304610e+06    1.89893943e+05    8.15704232e+03    6.43197481e+02
    3.18966425e+02    1.00051623e+04    6.81988301e-02    9.89828996e+02    2.58387661e+06    1.91848156e+05    8.14863905e+03    6.49327929e+02
    3.19433838e+02    1.02467044e+04    6.97467703e-02    9.89630099e+02    2.58470665e+06    1.93802418e+05    8.14026787e+03    6.55449539e+02
    3.19901250e+02    1.04932425e+04    7.13243680e-02    9.89429706e+02    2.58553623e+06    1.95756732e+05    8.13192861e+03    6.61562343e+02
    3.20368663e+02    1.07448613e+04    7.29320762e-02    9.89227824e+02    2.58636534e+06    1.97711099e+05    8.12362111e+03    6.67666373e+02
    3.20836075e+02    1.10016462e+04    7.45703528e-02    9.89024462e+02    2.58719397e+06    1.99665522e+05    8.11534519e+03    6.73761658e+02
    3.21303488e+02    1.12636840e+04    7.62396605e-02    9.88819630e+02    2.58802211e+06    2.01620001e+05    8.10710070e+03    6.79848231e+02
    3.21770900e+02    1.15310622e+04    7.79404667e-02    9.88613334e+02    2.58884977e+06    2.03574539e+05    8.09888746e+03    6.85926122e+02
    3.22238313e+02    1.18038699e+04    7.96732448e-02    9.88405583e+02    2.58967694e+06    2.05529138e+05    8.09070531e+03    6.91995361e+02
    3.22705725e+02    1.20821967e+04    8.14384723e-02    9.88196386e+02    2.59050361e+06    2.07483799e+05    8.08255409e+03    6.98055980e+02
    3.23173138e+02    1.23661339e+04    8.32366317e-02    9.87985750e+02    2.59132977e+06    2.09438524e+05    8.07443363e+03    7.04108007e+02
    3.23640550e+02    1.26557734e+04    8.50682108e-02    9.87773683e+02    2.59215543e+06    2.11393315e+05    8.06634378e+03    7.10151474e+02
    3.24107963e+02    1.29512086e+04    8.69337023e-02    9.87560193e+02    2.59298058e+06    2.13348174e+05    8.05828437e+03    7.16186409e+02
    3.24575375e+02    1.32525337e+04    8.88336037e-02    9.87345288e+02    2.59380521e+06    2.15303103e+05    8.05025525e+03    7.22212843e+02
    3.25042788e+02    1.35598444e+04    9.07684189e-02    9.87128974e+02    2.59462931e+06    2.17258102e+05    8.04225625e+03    7.28230805e+02
    3.25510200e+02    1.38732372e+04    9.27386555e-02    9.86911260e+02    2.59545289e+06    2.19213175e+05    8.03428722e+03    7.34240323e+02
    3.25977613e+02    1.41928099e+04    9.47448268e-02    9.86692152e+02    2.59627594e+06    2.21168322e+05    8.02634800e+03    7.40241429e+02
    3.26445025e+02    1.45186616e+04    9.67874511e-02    9.86471659e+02    2.59709845e+06    2.23123545e+05    8.01843844e+03    7.46234149e+02
    3.26912438e+02    1.48508922e+04    9.88670516e-02    9.86249786e+02    2.59792041e+06    2.25078846e+05    8.01055837e+03    7.52218513e+02
    3.27379850e+02    1.51896032e+04    1.00984158e-01    9.86026541e+02    2.59874183e+06    2.27034227e+05    8.00270765e+03    7.58194550e+02
    3.27847263e+02    1.55348969e+04    1.03139304e-01    9.85801931e+02    2.59956269e+06    2.28989688e+05    7.99488612e+03    7.64162288e+02
    3.28314675e+02    1.58868770e+04    1.05333030e-01    9.85575963e+02    2.60038300e+06    2.30945233e+05    7.98709363e+03    7.70121755e+02
    3.28782088e+02    1.62456484e+04    1.07565878e-01    9.85348644e+02    2.60120274e+06    2.32900862e+05    7.97933002e+03    7.76072980e+02
    3.29249500e+02    1.66113171e+04    1.09838400e-01    9.85119979e+02    2.60202191e+06    2.34856577e+05    7.97159515e+03    7.82015990e+02
    3.29716913e+02    1.69839904e+04    1.12151152e-01    9.84889976e+02    2.60284051e+06    2.36812380e+05    7.96388886e+03    7.87950814e+02
    3.30184325e+02    1.73637767e+04    1.14504693e-01    9.84658641e+02    2.60365853e+06    2.38768272e+05    7.95621101e+03    7.93877478e+02
