# table for coexisting phases in IAPWS06
nbin_coex    300
temperature_coex_min    1.231600e+02
temperature_coex_max    2.731600e+02
# temperature (degK)    pressure (Pa)    mden_vap (kg / m^3)    mden_ice (kg / m^3)    enthalpy_vap (J / kg)    enthalpy_ice (J / kg)    entropy_vap (J / kg / degK)    entropy_ice (J / kg / degK)
    1.54660000e+02    2.07264218e-05    2.90373945e-10    9.30270034e+02    2.28190434e+06    -5.31369003e+05    1.60417667e+04    -2.14828458e+03
    1.55160000e+02    2.35335074e-05    3.28638322e-10    9.30233013e+02    2.28282924e+06    -5.30739389e+05    1.59891172e+04    -2.14422019e+03
    1.55660000e+02    2.66993288e-05    3.71650426e-10    9.30195785e+02    2.28375415e+06    -5.30108092e+05    1.59368189e+04    -2.14015805e+03
    1.56160000e+02    3.02669518e-05    4.19962200e-10    9.30158349e+02    2.28467906e+06    -5.29475111e+05    1.58848686e+04    -2.13609814e+03
    1.56660000e+02    3.42842727e-05    4.74185354e-10    9.30120706e+02    2.28560397e+06    -5.28840448e+05    1.58332628e+04    -2.13204045e+03
    1.57160000e+02    3.88045208e-05    5.34997339e-10    9.30082857e+02    2.28652890e+06    -5.28204100e+05    1.57819984e+04    -2.12798496e+03
    1.57660000e+02    4.38868097e-05    6.03147882e-10    9.30044802e+02    2.28745382e+06    -5.27566069e+05    1.57310720e+04    -2.12393165e+03
    1.58160000e+02    4.95967406e-05    6.79466107e-10    9.30006541e+02    2.28837875e+06    -5.26926353e+05    1.56804805e+04    -2.11988050e+03
    1.58660000e+02    5.60070624e-05    7.64868302e-10    9.29968076e+02    2.28930369e+06    -5.26284952e+05    1.56302206e+04    -2.11583151e+03
    1.59160000e+02    6.31983942e-05    8.60366381e-10    9.29929405e+02    2.29022863e+06    -5.25641865e+05    1.55802893e+04    -2.11178465e+03
    1.59660000e+02    7.12600139e-05    9.67077093e-10    9.29890529e+02    2.29115358e+06    -5.24997093e+05    1.55306834e+04    -2.10773991e+03
    1.60160000e+02    8.02907200e-05    1.08623205e-09    9.29851450e+02    2.29207853e+06    -5.24350635e+05    1.54813999e+04    -2.10369727e+03
    1.60660000e+02    9.03997727e-05    1.21918861e-09    9.29812167e+02    2.29300349e+06    -5.23702490e+05    1.54324357e+04    -2.09965672e+03
    1.61160000e+02    1.01707919e-04    1.36744173e-09    9.29772680e+02    2.29392845e+06    -5.23052658e+05    1.53837879e+04    -2.09561824e+03
    1.61660000e+02    1.14348512e-04    1.53263685e-09    9.29732991e+02    2.29485342e+06    -5.22401139e+05    1.53354536e+04    -2.09158181e+03
    1.62160000e+02    1.28468727e-04    1.71658378e-09    9.29693099e+02    2.29577839e+06    -5.21747931e+05    1.52874299e+04    -2.08754742e+03
    1.62660000e+02    1.44230889e-04    1.92127191e-09    9.29653006e+02    2.29670337e+06    -5.21093034e+05    1.52397138e+04    -2.08351505e+03
    1.63160000e+02    1.61813916e-04    2.14888657e-09    9.29612710e+02    2.29762836e+06    -5.20436447e+05    1.51923025e+04    -2.07948469e+03
    1.63660000e+02    1.81414885e-04    2.40182683e-09    9.29572214e+02    2.29855335e+06    -5.19778171e+05    1.51451933e+04    -2.07545632e+03
    1.64160000e+02    2.03250738e-04    2.68272472e-09    9.29531516e+02    2.29947835e+06    -5.19118204e+05    1.50983833e+04    -2.07142992e+03
    1.64660000e+02    2.27560134e-04    2.99446604e-09    9.29490619e+02    2.30040335e+06    -5.18456546e+05    1.50518699e+04    -2.06740548e+03
    1.65160000e+02    2.54605453e-04    3.34021291e-09    9.29449521e+02    2.30132836e+06    -5.17793196e+05    1.50056504e+04    -2.06338298e+03
    1.65660000e+02    2.84674980e-04    3.72342805e-09    9.29408224e+02    2.30225337e+06    -5.17128154e+05    1.49597220e+04    -2.05936241e+03
    1.66160000e+02    3.18085264e-04    4.14790108e-09    9.29366728e+02    2.30317839e+06    -5.16461418e+05    1.49140821e+04    -2.05534375e+03
    1.66660000e+02    3.55183676e-04    4.61777689e-09    9.29325034e+02    2.30410342e+06    -5.15792988e+05    1.48687282e+04    -2.05132699e+03
    1.67160000e+02    3.96351181e-04    5.13758619e-09    9.29283141e+02    2.30502845e+06    -5.15122864e+05    1.48236577e+04    -2.04731210e+03
    1.67660000e+02    4.42005335e-04    5.71227855e-09    9.29241051e+02    2.30595349e+06    -5.14451045e+05    1.47788680e+04    -2.04329908e+03
    1.68160000e+02    4.92603526e-04    6.34725792e-09    9.29198764e+02    2.30687853e+06    -5.13777529e+05    1.47343566e+04    -2.03928791e+03
    1.68660000e+02    5.48646481e-04    7.04842092e-09    9.29156279e+02    2.30780359e+06    -5.13102317e+05    1.46901210e+04    -2.03527857e+03
    1.69160000e+02    6.10682049e-04    7.82219806e-09    9.29113599e+02    2.30872864e+06    -5.12425407e+05    1.46461588e+04    -2.03127106e+03
    1.69660000e+02    6.79309291e-04    8.67559806e-09    9.29070723e+02    2.30965371e+06    -5.11746799e+05    1.46024676e+04    -2.02726534e+03
    1.70160000e+02    7.55182888e-04    9.61625555e-09    9.29027651e+02    2.31057877e+06    -5.11066492e+05    1.45590450e+04    -2.02326141e+03
    1.70660000e+02    8.39017901e-04    1.06524823e-08    9.28984385e+02    2.31150385e+06    -5.10384485e+05    1.45158886e+04    -2.01925926e+03
    1.71160000e+02    9.31594900e-04    1.17933221e-08    9.28940924e+02    2.31242893e+06    -5.09700777e+05    1.44729960e+04    -2.01525886e+03
    1.71660000e+02    1.03376548e-03    1.30486102e-08    9.28897269e+02    2.31335402e+06    -5.09015368e+05    1.44303650e+04    -2.01126021e+03
    1.72160000e+02    1.14645824e-03    1.44290362e-08    9.28853421e+02    2.31427912e+06    -5.08328257e+05    1.43879933e+04    -2.00726329e+03
    1.72660000e+02    1.27068512e-03    1.59462126e-08    9.28809380e+02    2.31520422e+06    -5.07639443e+05    1.43458785e+04    -2.00326808e+03
    1.73160000e+02    1.40754838e-03    1.76127470e-08    9.28765147e+02    2.31612933e+06    -5.06948924e+05    1.43040186e+04    -1.99927456e+03
    1.73660000e+02    1.55824792e-03    1.94423208e-08    9.28720721e+02    2.31705444e+06    -5.06256702e+05    1.42624112e+04    -1.99528274e+03
    1.74160000e+02    1.72408930e-03    2.14497723e-08    9.28676104e+02    2.31797956e+06    -5.05562773e+05    1.42210543e+04    -1.99129258e+03
    1.74660000e+02    1.90649224e-03    2.36511866e-08    9.28631296e+02    2.31890469e+06    -5.04867139e+05    1.41799456e+04    -1.98730408e+03
    1.75160000e+02    2.10699981e-03    2.60639907e-08    9.28586298e+02    2.31982983e+06    -5.04169797e+05    1.41390830e+04    -1.98331721e+03
    1.75660000e+02    2.32728831e-03    2.87070565e-08    9.28541109e+02    2.32075497e+06    -5.03470746e+05    1.40984644e+04    -1.97933198e+03
    1.76160000e+02    2.56917776e-03    3.16008095e-08    9.28495731e+02    2.32168012e+06    -5.02769987e+05    1.40580877e+04    -1.97534836e+03
    1.76660000e+02    2.83464326e-03    3.47673464e-08    9.28450164e+02    2.32260527e+06    -5.02067519e+05    1.40179509e+04    -1.97136633e+03
    1.77160000e+02    3.12582711e-03    3.82305587e-08    9.28404408e+02    2.32353044e+06    -5.01363339e+05    1.39780519e+04    -1.96738589e+03
    1.77660000e+02    3.44505179e-03    4.20162670e-08    9.28358465e+02    2.32445561e+06    -5.00657448e+05    1.39383888e+04    -1.96340702e+03
    1.78160000e+02    3.79483385e-03    4.61523619e-08    9.28312333e+02    2.32538078e+06    -4.99949844e+05    1.38989595e+04    -1.95942971e+03
    1.78660000e+02    4.17789877e-03    5.06689562e-08    9.28266015e+02    2.32630597e+06    -4.99240527e+05    1.38597620e+04    -1.95545394e+03
    1.79160000e+02    4.59719686e-03    5.55985449e-08    9.28219510e+02    2.32723116e+06    -4.98529495e+05    1.38207945e+04    -1.95147970e+03
    1.79660000e+02    5.05592036e-03    6.09761797e-08    9.28172819e+02    2.32815636e+06    -4.97816749e+05    1.37820550e+04    -1.94750697e+03
